City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,-2.73,84.0,23.0,3.37,GS,1718656088.0
1,mount gambier,-37.8333,140.7667,2.97,94.0,0.0,1.93,AU,1718656088.0
2,iqaluit,63.7506,-68.5145,5.85,60.0,75.0,3.6,CA,1718656088.0
3,waitangi,-43.9535,-176.5597,11.57,97.0,100.0,4.02,NZ,1718656088.0
4,porto novo,6.4965,2.6036,27.9,85.0,38.0,2.32,BJ,1718656088.0
5,flying fish cove,-10.4217,105.6791,24.82,88.0,75.0,3.6,CX,1718656089.0
6,mili,6.0815,171.735,28.07,76.0,95.0,3.8,MH,1718656089.0
7,tarakan,3.3,117.6333,26.49,81.0,100.0,2.62,ID,1718656089.0
8,bredasdorp,-34.5322,20.0403,13.69,76.0,6.0,2.52,ZA,1718656089.0
9,port-aux-francais,-49.35,70.2167,3.12,62.0,24.0,12.94,TF,1718656089.0
10,adamstown,-25.066,-130.1015,22.2,79.0,100.0,5.27,PN,1718656089.0
11,punta arenas,-53.15,-70.9167,-0.94,64.0,20.0,6.69,CL,1718656054.0
12,saudarkrokur,65.7461,-19.6394,9.78,68.0,88.0,2.34,IS,1718656089.0
13,artigues-pres-bordeaux,44.85,-0.5167,24.85,61.0,0.0,4.63,FR,1718656090.0
14,edinburgh of the seven seas,-37.0676,-12.3116,12.9,66.0,100.0,5.77,SH,1718656090.0
15,strathalbyn,-35.2667,138.9,12.27,84.0,87.0,1.96,AU,1718656090.0
16,ushuaia,-54.8,-68.3,-1.19,69.0,75.0,4.63,AR,1718655909.0
17,isafjordur,66.0755,-23.124,6.19,86.0,98.0,2.92,IS,1718656090.0
18,ghanzi,-21.5667,21.7833,13.05,37.0,0.0,2.29,BW,1718656090.0
19,puerto natales,-51.7236,-72.4875,-1.75,74.0,75.0,2.57,CL,1718656090.0
20,enewetak,11.3474,162.3373,28.01,80.0,94.0,7.75,MH,1718656090.0
21,mirnyy,62.5353,113.9611,7.46,94.0,61.0,2.32,RU,1718656091.0
22,stanley,54.868,-1.6985,13.17,87.0,55.0,2.35,GB,1718655893.0
